0,1
Datasets\captcha_images_v2\613082.png,613082
Datasets\captcha_images_v2\316247.png,316247
Datasets\captcha_images_v2\936734.png,936734
Datasets\captcha_images_v2\167616.png,167616
Datasets\captcha_images_v2\610718.png,610718
Datasets\captcha_images_v2\965718.png,965718
Datasets\captcha_images_v2\096879.png,096879
Datasets\captcha_images_v2\234598.png,234598
Datasets\captcha_images_v2\953292.png,953292
Datasets\captcha_images_v2\793901.png,793901
Datasets\captcha_images_v2\329050.png,329050
Datasets\captcha_images_v2\673426.png,673426
Datasets\captcha_images_v2\421686.png,421686
Datasets\captcha_images_v2\576970.png,576970
Datasets\captcha_images_v2\262450.png,262450
Datasets\captcha_images_v2\370984.png,370984
Datasets\captcha_images_v2\910749.png,910749
Datasets\captcha_images_v2\832758.png,832758
Datasets\captcha_images_v2\081676.png,081676
Datasets\captcha_images_v2\269426.png,269426
Datasets\captcha_images_v2\219523.png,219523
Datasets\captcha_images_v2\279743.png,279743
Datasets\captcha_images_v2\934213.png,934213
Datasets\captcha_images_v2\569013.png,569013
Datasets\captcha_images_v2\595143.png,595143
Datasets\captcha_images_v2\213740.png,213740
Datasets\captcha_images_v2\275371.png,275371
Datasets\captcha_images_v2\731573.png,731573
Datasets\captcha_images_v2\152170.png,152170
Datasets\captcha_images_v2\493512.png,493512
Datasets\captcha_images_v2\108431.png,108431
Datasets\captcha_images_v2\531390.png,531390
Datasets\captcha_images_v2\193272.png,193272
Datasets\captcha_images_v2\060698.png,060698
Datasets\captcha_images_v2\375710.png,375710
Datasets\captcha_images_v2\520720.png,520720
Datasets\captcha_images_v2\895824.png,895824
Datasets\captcha_images_v2\420871.png,420871
Datasets\captcha_images_v2\098210.png,098210
Datasets\captcha_images_v2\037560.png,037560
Datasets\captcha_images_v2\703810.png,703810
Datasets\captcha_images_v2\160803.png,160803
Datasets\captcha_images_v2\724364.png,724364
Datasets\captcha_images_v2\702429.png,702429
Datasets\captcha_images_v2\271969.png,271969
Datasets\captcha_images_v2\823527.png,823527
Datasets\captcha_images_v2\386326.png,386326
Datasets\captcha_images_v2\594124.png,594124
Datasets\captcha_images_v2\201757.png,201757
Datasets\captcha_images_v2\041901.png,041901
Datasets\captcha_images_v2\545268.png,545268
Datasets\captcha_images_v2\018010.png,018010
Datasets\captcha_images_v2\862971.png,862971
Datasets\captcha_images_v2\018568.png,018568
Datasets\captcha_images_v2\624021.png,624021
Datasets\captcha_images_v2\435915.png,435915
Datasets\captcha_images_v2\610143.png,610143
Datasets\captcha_images_v2\503693.png,503693
Datasets\captcha_images_v2\096727.png,096727
Datasets\captcha_images_v2\816856.png,816856
Datasets\captcha_images_v2\285832.png,285832
Datasets\captcha_images_v2\170768.png,170768
