0,1
Datasets\captcha_images_b2\950625.png,950625
Datasets\captcha_images_b2\259785.png,259785
Datasets\captcha_images_b2\914983.png,914983
Datasets\captcha_images_b2\932067.png,932067
Datasets\captcha_images_b2\427585.png,427585
Datasets\captcha_images_b2\216070.png,216070
Datasets\captcha_images_b2\244606.png,244606
Datasets\captcha_images_b2\609081.png,609081
Datasets\captcha_images_b2\903682.png,903682
Datasets\captcha_images_b2\854110.png,854110
Datasets\captcha_images_b2\619582.png,619582
Datasets\captcha_images_b2\147681.png,147681
Datasets\captcha_images_b2\949717.png,949717
Datasets\captcha_images_b2\706582.png,706582
Datasets\captcha_images_b2\326206.png,326206
Datasets\captcha_images_b2\404776.png,404776
Datasets\captcha_images_b2\206741.png,206741
Datasets\captcha_images_b2\244228.png,244228
Datasets\captcha_images_b2\097204.png,097204
Datasets\captcha_images_b2\943601.png,943601
Datasets\captcha_images_b2\987247.png,987247
Datasets\captcha_images_b2\807202.png,807202
Datasets\captcha_images_b2\064488.png,064488
Datasets\captcha_images_b2\041561.png,041561
Datasets\captcha_images_b2\006268.png,006268
Datasets\captcha_images_b2\646366.png,646366
Datasets\captcha_images_b2\387198.png,387198
Datasets\captcha_images_b2\690168.png,690168
Datasets\captcha_images_b2\378564.png,378564
Datasets\captcha_images_b2\309018.png,309018
Datasets\captcha_images_b2\539125.png,539125
Datasets\captcha_images_b2\977321.png,977321
Datasets\captcha_images_b2\240057.png,240057
Datasets\captcha_images_b2\922709.png,922709
Datasets\captcha_images_b2\413928.png,413928
Datasets\captcha_images_b2\655270.png,655270
Datasets\captcha_images_b2\927351.png,927351
Datasets\captcha_images_b2\546889.png,546889
Datasets\captcha_images_b2\909449.png,909449
Datasets\captcha_images_b2\686888.png,686888
Datasets\captcha_images_b2\962103.png,962103
Datasets\captcha_images_b2\721485.png,721485
Datasets\captcha_images_b2\228456.png,228456
Datasets\captcha_images_b2\012417.png,012417
Datasets\captcha_images_b2\200234.png,200234
Datasets\captcha_images_b2\646380.png,646380
Datasets\captcha_images_b2\955298.png,955298
Datasets\captcha_images_b2\838655.png,838655
Datasets\captcha_images_b2\760127.png,760127
Datasets\captcha_images_b2\133697.png,133697
Datasets\captcha_images_b2\021929.png,021929
Datasets\captcha_images_b2\700466.png,700466
Datasets\captcha_images_b2\717774.png,717774
Datasets\captcha_images_b2\981630.png,981630
Datasets\captcha_images_b2\152431.png,152431
Datasets\captcha_images_b2\233919.png,233919
Datasets\captcha_images_b2\304739.png,304739
Datasets\captcha_images_b2\928106.png,928106
Datasets\captcha_images_b2\875996.png,875996
Datasets\captcha_images_b2\450570.png,450570
Datasets\captcha_images_b2\178123.png,178123
Datasets\captcha_images_b2\824797.png,824797
Datasets\captcha_images_b2\373298.png,373298
Datasets\captcha_images_b2\464654.png,464654
Datasets\captcha_images_b2\270552.png,270552
Datasets\captcha_images_b2\302932.png,302932
Datasets\captcha_images_b2\490165.png,490165
Datasets\captcha_images_b2\508511.png,508511
Datasets\captcha_images_b2\865450.png,865450
Datasets\captcha_images_b2\502271.png,502271
Datasets\captcha_images_b2\615681.png,615681
Datasets\captcha_images_b2\162682.png,162682
Datasets\captcha_images_b2\020956.png,020956
Datasets\captcha_images_b2\161116.png,161116
Datasets\captcha_images_b2\316598.png,316598
Datasets\captcha_images_b2\642940.png,642940
Datasets\captcha_images_b2\510271.png,510271
Datasets\captcha_images_b2\223455.png,223455
Datasets\captcha_images_b2\306002.png,306002
Datasets\captcha_images_b2\693109.png,693109
Datasets\captcha_images_b2\825883.png,825883
Datasets\captcha_images_b2\748546.png,748546
Datasets\captcha_images_b2\835167.png,835167
Datasets\captcha_images_b2\410441.png,410441
Datasets\captcha_images_b2\631452.png,631452
Datasets\captcha_images_b2\002856.png,002856
Datasets\captcha_images_b2\841873.png,841873
Datasets\captcha_images_b2\600141.png,600141
Datasets\captcha_images_b2\506205.png,506205
Datasets\captcha_images_b2\125199.png,125199
Datasets\captcha_images_b2\196952.png,196952
